university,program,faculty,url,degree,language,city,latitude,longitude
UVT,Geoinformatică,Geoinformatica,https://admitere.uvt.ro/program/geoinformatica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Limba și literatura germană – Limba și literatura modernă (engleză/franceză/italiană/spaniolă)/Limba și literatura latină/Limba și literatura română,Limba Si Literatura Germana Limba Si Literatura Moderna Engleza Franceza Italiana Spaniola Limba Si Literatura Latina Limba Si Literatura Romana,https://admitere.uvt.ro/program/limba-si-literatura-germana-limba-si-literatura-moderna-engleza-franceza-italiana-spaniola-limba-si-literatura-latina-limba-si-literatura-romana/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Pedagogie,Pedagogie,https://admitere.uvt.ro/program/pedagogie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Psihopedagogie specială,Psihopedagogie Speciala,https://admitere.uvt.ro/program/psihopedagogie-speciala/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Muzică,Muzica,https://admitere.uvt.ro/program/muzica/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Chimie-Biologie,Chimie Biologie,https://admitere.uvt.ro/program/chimie-biologie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Biochimie,Biochimie,https://admitere.uvt.ro/program/biochimie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Sociologie,Sociologie,https://admitere.uvt.ro/program/sociologie/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Educație fizică și sportivă (învățământ cu frecvență redusă),Educatie Fizica Si Sportiva Invatamant Cu Frecventa Redusa,https://admitere.uvt.ro/program/educatie-fizica-si-sportiva-invatamant-cu-frecventa-redusa/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Relații internaționale și studii europene,Relatii Internationale Si Studii Europene,https://admitere.uvt.ro/program/relatii-internationale-si-studii-europene/,Licenta,Română,Timisoara,45.7477,21.2312
UVT,Asistență socială (învățământ la distanță),Asistenta Sociala Invatamant La Distanta,https://admitere.uvt.ro/program/asistenta-sociala-invatamant-la-distanta/,Licenta,Română,Timisoara,45.7477,21.2312
